nama,jam_belajar,jumlah_tugas,kehadiran_persen,skor_pretest,tingkat_stres,nilai_akhir
Andi,2,1,55,35,9,42
Budi,4,2,60,45,8,50
Citra,6,2,65,50,8,57
Dewi,8,3,70,58,7,64
Eko,10,4,75,65,7,71
Farhan,12,5,80,70,6,77
Gina,14,5,85,76,6,82
Hana,16,6,88,80,5,86
Indra,18,7,92,85,4,91
Joko,20,8,95,90,3,95
Karin,3,1,58,40,9,45
Lukman,5,2,63,47,8,53
Maya,7,3,68,55,7,60
Nadia,9,4,72,60,7,67
Oki,11,4,77,67,6,73
Putri,13,5,82,73,6,79
Qori,15,6,86,78,5,84
Rian,17,7,90,83,4,88
Salsa,19,8,93,88,3,93
Tono,21,9,97,92,2,97
Umar,1,1,50,30,10,38
Vina,6,3,67,52,7,59
Wahyu,11,4,79,68,6,74
Xena,16,6,91,84,4,89
Yusuf,5,2,62,44,8,52
Zahra,10,4,74,63,6,70
Aulia,15,6,87,79,5,85
Bagas,20,8,96,91,3,96
Clara,8,3,71,57,7,63
Dimas,14,5,84,75,5,81
